telegram_id,username,joined_at,active
567348199,nurahsanadzim,2026-05-07T20:12:32.917832+00:00,True
1552782485,usrlocalbin,2026-05-07T20:14:05.881393+00:00,True
8147848769,xeph_101,2026-05-07T20:15:12.071076+00:00,True
